ID number,Assignment:Assignment 1 Submission Area (Real)
816000366,100.00
816019400,30.23
816000935,54.65
816117683,0.00
816022438,99.42
816001130,14.19
816002273,63.95
816022023,76.63
816008740,45.35
816014860,83.14
816017045,94.19
816019037,20.35
816017229,78.49
816004121,15.70
816018253,78.49
816005595,22.67
816011391,48.84
816001862,24.42
816018588,42.44
816013096,24.42
816018746,66.28
816014699,52.56
816022711,37.79
814004245,14.53
816009846,35.47
816021939,54.53
816020871,77.91
816013578,77.33
816013169,84.88
816020039,71.51
816021061,5.81
816013791,62.44
816006488,12.50
816000496,100.00
814117667,34.88
816000377,68.02
816020815,93.60
816018329,86.05
816004809,86.63
816009767,22.09
816023033,100.00
816019175,0.00
816020134,100.00
816015560,34.88
813117763,80.23
816021584,0.00
815006970,90.12
816019696,100.00
816019715,75.81
816019788,33.14
816020303,53.49
813001054,48.84
814002641,96.51
816018659,88.95
816021543,97.09
816020015,67.91
816020784,28.72
816020909,100.00
816004029,43.60
816020150,70.93
816006213,84.30
816018930,69.77
816022340,73.26
816020068,88.95
816004672,27.33
816020515,100.00
816015845,65.12
816021684,100.00
816020890,21.51
816117625,70.93
8160009482,4.65
816021817,100.00
816007720,0.00
816020488,94.19
816018360,88.95
816000303,78.49
816020426,63.95
816014227,62.79
816009215,47.67
816018721,73.26
816016854,73.84
816004460,42.09
816013238,8.14
816013573,60.47
816020390,77.91
816022840,100.00
816014270,49.42
816018582,53.49
816016804,58.72
816023620,100.00
816016050,90.12
816022556,63.37
816007500,40.70
816021226,100.00
816014018,77.91
816018662,41.25
816014616,35.29
816019453,4.92
816021155,1.48
816016482,45.10
816022470,18.84
816017238,47.06
816019582,33.14
816015043,48.04
816016640,0.00
816011285,13.97
816013697,0.00
816014197,32.20
816006490,30.77
816019492,48.04
816011524,0.00
816021062,44.23
816013000,48.21
816018479,33.33
816007114,26.32
816019893,35.29
816020695,NaN
816022176,47.06
816003734,0.00
816022435,13.73
816002233,46.23
816018640,75.00
816008647,52.91
816017887,42.09
816008409,12.50
816014840,100.00
816015181,68.60
816021591,0.00
816022883,10.00
816022996,68.60
816013168,53.72
816020184,79.07
816022295,66.28
816020986,8.72
816003108,27.67
816013388,31.40
816002546,11.40
816017254,33.37
816019082,33.72
816020350,32.79
816018788,19.19
816021561,78.49
816117713,63.37
816015907,51.74
816011166,86.63
816018750,74.07
816015405,89.53
81601935,78.49
816014352,92.91
816013958,36.05
816016166,84.88
816022655,100.00
816019646,29.65
816023287,91.86
816022324,84.88
816021429,84.88
816018833,80.23
816020695,0
